episode,instance,reward,makespan,decisions,epsilon,loss
1,6x6_6x6x2,-8.491941586044014,2111,58,0.985,
2,10x5_10x5x3,-1.7215367008228504,1938,90,0.970225,0.1574257955989904
3,15x5_15x5x2,-0.9813915844140728,4191,103,0.955671625,0.06669752256384173
4,10x10_10x10x4,-4.767563785241858,2849,184,0.941336550625,0.08229393589958224
5,15x10_15x10x3,-1.5099380525327526,5243,223,0.927216502365625,0.0879470198135823
6,20x10_20x10x5,5.8022701852681235,4380,335,0.9133082548301407,0.0987775264121592
7,30x10_30x10x2,7.230229843936094,16289,349,0.8996086310076885,0.09535938175395131
8,30x10_30x10x6,16.561847185165725,5025,418,0.8861145015425732,0.09728078454732896
9,50x10_50x10x3,31.366158974961614,17338,551,0.8728227840194346,0.10231028024107218
10,100x10_100x10x3,78.26611048474994,33769,1054,0.8597304422591431,0.11455526059493422
11,6x6_6x6x2,-11.013606674163631,2448,67,0.8468344856252559,0.11862483515001054
12,10x5_10x5x3,-1.88553219596571,2065,96,0.834131968340877,0.11864017912497123
13,15x5_15x5x2,-1.3594587938006402,4223,109,0.8216199888157638,0.11811803705101713
14,10x10_10x10x4,-4.702128813838666,2753,157,0.8092956889835273,0.11970101719259456
15,15x10_15x10x3,-2.0125574327841833,5212,204,0.7971562536487744,0.12013491082936525
16,20x10_20x10x5,6.6519687821618305,4264,327,0.7851989098440427,0.12260425325483083
17,30x10_30x10x2,7.5963993833038215,15913,335,0.773420926196382,0.11948237404227256
18,30x10_30x10x6,15.563603844947618,5249,458,0.7618196123034363,0.12503582704812288
19,50x10_50x10x3,29.933436114706115,17235,560,0.7503923181188847,0.1283891613781452
20,100x10_100x10x3,74.3762239712437,34409,1108,0.7391364333471014,0.13033487375825645
21,6x6_6x6x2,-10.843061400929992,2528,75,0.7280493868468949,0.129147234360377
22,10x5_10x5x3,-2.0849852399149333,2064,94,0.7171286460441915,0.13199797502540528
23,15x5_15x5x2,-0.3234684341308518,4027,86,0.7063717163535286,0.1327656351549681
24,10x10_10x10x4,-4.985891778446616,2983,243,0.6957761406082257,0.13119039263576268
25,15x10_15x10x3,-1.3781508033419527,5303,206,0.6853394984991023,0.1275938847847283
26,20x10_20x10x5,6.9268984981885335,4196,279,0.6750594060216157,0.12909401170909404
27,30x10_30x10x2,7.356037879831046,16051,344,0.6649335149312915,0.1290822710469365
28,30x10_30x10x6,17.198117585242045,5497,592,0.6549595122073221,0.1346801599301398
29,50x10_50x10x3,31.597610687861668,17529,567,0.6451351195242122,0.13360419265925885
30,100x10_100x10x3,78.07263081219688,34266,1049,0.635458092731349,0.12845902103930712
31,6x6_6x6x2,-11.926987570395765,2612,73,0.6259262213403788,0.1300877373512477
32,10x5_10x5x3,-2.3544749652349166,2098,104,0.6165373280202731,0.13471083314372942
33,15x5_15x5x2,-1.4114807262670936,4171,106,0.607289268099969,0.13229359545797673
34,10x10_10x10x4,-5.234738047593645,2764,207,0.5981799290784694,0.13394571486860513
35,15x10_15x10x3,-1.396261826457774,5246,203,0.5892072301422924,0.12994242150336505
36,20x10_20x10x5,5.81597920997709,4387,372,0.580369121690158,0.1313133417069912
37,30x10_30x10x2,7.180948922494426,15962,343,0.5716635848648056,0.13849397335201502
38,30x10_30x10x6,18.617329583696694,5350,524,0.5630886310918335,0.14038014266639948
39,50x10_50x10x3,28.928250253365245,17593,578,0.554642301625456,0.13191033639013766
40,100x10_100x10x3,76.89516289681282,34016,1058,0.5463226671010741,0.12970342386513947
41,6x6_6x6x2,-8.85426761968783,2238,59,0.538127827094558,0.12842649398213726
42,10x5_10x5x3,-2.193317825893084,2071,96,0.5300559096881396,0.13182272591317692
43,15x5_15x5x2,0.3162816723059585,3878,95,0.5221050710428176,0.1275728878222014
44,10x10_10x10x4,-4.262842788275691,2839,192,0.5142734949771753,0.13387459640701613
45,15x10_15x10x3,-1.0040699667992667,5130,215,0.5065593925525177,0.1279101487621665
46,20x10_20x10x5,4.439075775279465,4195,315,0.4989610016642299,0.1344492355361581
47,30x10_30x10x2,8.548516836424138,15788,330,0.49147658663926647,0.13057604756206273
48,30x10_30x10x6,17.498936514622432,5116,445,0.48410443783967744,0.13203880812972785
49,50x10_50x10x3,32.30573259064631,17143,562,0.47684287127208225,0.12825360169634223
50,100x10_100x10x3,79.14517502344884,33931,1036,0.469690228203001,0.12608242144808174
