episode,instance,reward,makespan,decisions,loss,force_rest_time,invalid_actions
119,15x5_15x5x2,-1.9851151939674776,4348,118,0.04550251891339292,758,0
120,10x10_10x10x4,-5.718435982400443,2968,229,-0.007025184113873923,996,0
121,6x6_6x6x2,-9.73040169572192,2314,72,0.38488043706294983,355,0
122,10x5_10x5x3,-1.6015948853376007,2032,109,0.3225374043547471,476,0
123,15x5_15x5x2,-3.3964345476374964,4667,162,-0.017279149547656192,763,0
124,10x10_10x10x4,-5.445963900794678,2915,212,-0.023064379808756537,1063,0
125,6x6_6x6x2,-10.288005525334276,2408,80,0.3076510956510901,368,0
126,10x5_10x5x3,-2.230278570725204,2120,126,0.1071281227013392,559,0
127,15x5_15x5x2,-1.7533773173014318,4282,116,-0.055289990340905454,826,0
128,10x10_10x10x4,-5.8191833220846325,2919,213,-0.01702221313561422,969,0
129,6x6_6x6x2,-9.8741163991812,2368,75,0.3597163155923287,362,0
130,10x5_10x5x3,-1.336558252967299,1971,87,0.1108222479407472,535,0
131,15x5_15x5x2,-2.5251241173901633,4257,114,-0.001870396052764952,803,0
132,10x10_10x10x4,-7.3948241058911695,3056,231,0.059820765289740056,1090,0
133,6x6_6x6x2,-11.066634824009142,2438,80,0.4222309944452718,355,0
134,10x5_10x5x3,-2.6131551584832717,2129,101,0.32321387722553446,561,0
135,15x5_15x5x2,-1.1644437158508287,4131,108,0.040904685488419114,812,0
136,10x10_10x10x4,-6.364207264467703,2892,220,0.016566995982165364,1015,0
137,6x6_6x6x2,-10.7506817655771,2312,85,0.29227195629192626,345,0
138,10x5_10x5x3,-1.3657540630764946,1958,95,0.25888441540791013,561,0
139,15x5_15x5x2,-2.3140898341297156,4373,122,-0.003679119039052093,837,0
140,10x10_10x10x4,-3.7456742808563375,2868,173,-0.040000008619686514,1017,0
141,6x6_6x6x2,-8.97696032057972,2162,58,0.5590758034317144,374,0
142,10x5_10x5x3,-4.235549756962228,2203,98,-0.033486048151662916,544,0
143,15x5_15x5x2,-1.0709605939730595,3988,109,0.13590318333665166,804,0
144,10x10_10x10x4,-4.574371999431799,2877,174,-0.0028557050919652653,1131,0
145,6x6_6x6x2,-9.670159811137568,2404,65,0.28391466595662324,364,0
146,10x5_10x5x3,-1.6253088345464164,2003,80,0.10689138639136218,552,0
147,15x5_15x5x2,-1.0675093273176948,4234,101,0.045375653648619896,809,0
148,10x10_10x10x4,-5.814354738566497,2844,194,0.015224868201257026,1107,0
149,6x6_6x6x2,-10.201074838379384,2248,67,0.11616571655552554,346,0
150,10x5_10x5x3,-2.1394072704715867,2120,89,0.01345512712520831,546,0
151,15x5_15x5x2,-0.19434403517168342,3961,94,0.06218205714112823,824,0
152,10x10_10x10x4,-4.704395523685902,2905,200,0.022577244421117942,1018,0
153,6x6_6x6x2,-8.001928750184957,2092,59,0.43059982038971223,341,0
154,10x5_10x5x3,-1.5544291412479176,1966,95,0.06035616021652363,523,0
155,15x5_15x5x2,-2.4037489046284897,4230,111,0.08832720180067259,830,0
156,10x10_10x10x4,-4.019991000066945,2815,185,-0.004199435196917605,1055,0
157,6x6_6x6x2,-8.791625594533066,2134,54,0.5659527435114056,354,0
158,10x5_10x5x3,-2.009116567286222,2201,112,0.08966219572383645,524,0
159,15x5_15x5x2,-1.4072219925724654,4373,113,0.13131988241411413,814,0
160,10x10_10x10x4,-4.575515387751519,2802,190,0.022568229368985875,1021,0
161,6x6_6x6x2,-11.987819336877967,2628,70,1.224930150066835,356,0
162,10x5_10x5x3,-3.6100766388046344,2344,125,0.05411011873744427,532,0
163,15x5_15x5x2,-0.8016116389322692,4150,107,0.2347305010455861,807,0
164,10x10_10x10x4,-4.0491380172418125,2784,204,0.005847410169913999,1036,0
165,6x6_6x6x2,-8.494691193661254,2174,57,0.7086198378125566,357,0
166,10x5_10x5x3,-1.5780945536127817,1972,83,0.053171098605359346,542,0
167,15x5_15x5x2,-1.556170124112269,4144,109,-0.05459772716618117,818,0
168,10x10_10x10x4,-3.8958809396059313,2969,226,-0.01007682066544709,1038,0
169,6x6_6x6x2,-7.256931617425382,1963,58,0.3200856959005689,335,0
170,10x5_10x5x3,-2.0981620959492324,2087,116,0.040662651817346455,553,0
171,15x5_15x5x2,-0.9852024994440194,4001,93,-0.023548971175626723,846,0
172,10x10_10x10x4,-3.290566996689604,2924,219,-0.01919505859886777,1058,0
173,6x6_6x6x2,-7.830143215943183,2001,48,0.8483867858352218,392,0
174,10x5_10x5x3,-0.9596628249777979,2041,105,0.09252323198265262,521,0
175,15x5_15x5x2,-0.1470954413966703,3965,99,-0.030435334030313024,799,0
176,10x10_10x10x4,-5.458752837539423,2846,178,0.049092941310549726,1108,0
177,6x6_6x6x2,-8.50034019323937,2085,56,0.2608284541305953,377,0
178,10x5_10x5x3,-1.4377219317597667,2050,101,0.15586067746061424,536,0
179,15x5_15x5x2,-0.5748304394940422,3885,94,-0.00558221744165379,868,0
180,10x10_10x10x4,-2.9309413429940694,2841,208,-0.014999921719069019,1033,0
181,6x6_6x6x2,-9.89188248989893,2293,60,1.1350156299459435,351,0
182,10x5_10x5x3,-1.760419778746044,2076,115,0.1363211330714757,528,0
183,15x5_15x5x2,-0.2129470796216122,3907,94,0.06682691773637495,831,0
184,10x10_10x10x4,-3.6274801757339863,2915,210,-0.01882660669784638,1072,0
185,6x6_6x6x2,-8.90750236632833,2327,66,0.563169951543607,343,0
186,10x5_10x5x3,-1.2052113056979326,2026,103,0.038996679025693134,524,0
187,15x5_15x5x2,-0.7697141077113576,4040,99,0.09557184555586618,787,0
188,10x10_10x10x4,-3.5221020684135365,2750,186,-0.00919551802398537,1028,0
189,6x6_6x6x2,-7.309325069322755,2110,70,0.2042500746103802,343,0
190,10x5_10x5x3,-1.2044050172648366,1963,91,-0.0057745797810359635,530,0
191,15x5_15x5x2,0.2498195801044094,3919,88,0.013138178839157754,839,0
192,10x10_10x10x4,-2.522881651924701,2823,168,-0.016697454828924194,1101,0
193,6x6_6x6x2,-9.580159285983688,2400,75,1.0242195209208875,377,0
194,10x5_10x5x3,-1.604255917543622,2080,118,0.1284914123214055,567,0
195,15x5_15x5x2,-0.7835066394341119,4013,112,0.08700432690758524,843,0
196,10x10_10x10x4,-4.973099086000023,3284,219,0.07261095374033756,1045,0
197,6x6_6x6x2,-10.470767930518821,2551,87,0.2747393027443075,363,0
198,10x5_10x5x3,-1.3028824220095008,1961,86,0.08780694651948072,539,0
199,15x5_15x5x2,0.09553645014643308,3802,87,0.09939627090319136,856,0
200,10x10_10x10x4,-4.059893487551424,2852,187,0.011520001603997647,1028,0
201,6x6_6x6x2,-9.366619575375848,2315,70,0.5517287738355142,337,0
202,10x5_10x5x3,-4.58464812506868,2425,126,0.05244736430893046,525,0
203,15x5_15x5x2,-1.2357440981023058,4285,99,0.5534767930071349,820,0
204,10x10_10x10x4,-5.673948241454394,2907,197,0.02019180446570068,1058,0
205,15x10_15x10x3,-2.9832764581288624,5345,196,-0.040415775876644314,1811,0
206,20x10_20x10x5,6.188942236474309,4415,323,0.26332942964710965,2201,0
207,30x10_30x10x2,7.188691670192373,15931,350,0.007896678328647147,3656,0
208,30x10_30x10x6,16.404823409098356,5241,441,0.022314890341140547,3340,0
209,50x10_50x10x3,30.037731246361176,17626,566,0.0762593156549925,6045,0
210,100x10_100x10x3,77.53191270755556,34042,1081,0.0671639552752471,12068,0
211,6x6_6x6x2,-8.252900919104958,2323,84,2.22248817178964,327,0
212,10x5_10x5x3,-4.912687570629006,2584,201,0.18453290275835538,452,0
213,15x5_15x5x2,-3.266406301191396,4913,146,0.0578936550236779,786,0
214,10x10_10x10x4,-8.504346035080145,3644,368,0.04366140998298879,993,0
215,15x10_15x10x3,-3.8787004865985706,5917,337,-0.0221918509984306,1461,0
216,20x10_20x10x5,2.211131659349248,4669,477,0.00814665743956182,2009,0
217,30x10_30x10x2,5.017196141588711,16990,420,-0.01019231934000605,3529,0
218,30x10_30x10x6,15.14618392250324,5557,576,0.048023498068182055,3185,0
219,50x10_50x10x3,29.19629854688668,17877,608,-0.011754023657168116,6040,0
220,100x10_100x10x3,76.5093804700253,34020,1129,0.23880072103015013,11867,0
221,6x6_6x6x2,-8.48236159862668,2103,64,2.737578353877325,361,0
222,10x5_10x5x3,-2.562479068109223,2205,119,0.18992003601459206,477,0
223,15x5_15x5x2,-1.3527749617878921,4308,122,0.004572701413321806,749,0
224,10x10_10x10x4,-5.403864325873586,3163,276,0.02605264449991502,966,0
225,15x10_15x10x3,-2.917008499777071,5518,248,-0.022602545426061917,1674,0
226,20x10_20x10x5,6.0914979283394555,4373,337,0.024158857146883237,2183,0
227,30x10_30x10x2,7.21815620735304,16092,337,-0.03586439121630629,3544,0
228,30x10_30x10x6,17.726776403904037,5402,538,0.012243928855153486,3210,0
229,50x10_50x10x3,30.87839241266682,17465,580,0.018108749550622725,5971,0
230,100x10_100x10x3,76.86098671994489,33769,1126,0.3139198383079002,11728,0
231,6x6_6x6x2,-10.424610378204239,2491,91,3.380247762925657,306,0
232,10x5_10x5x3,-2.3660905942702177,2526,195,0.15861277937626417,437,0
233,15x5_15x5x2,-1.3457008177665595,4786,186,0.0032345651290930245,762,0
234,10x10_10x10x4,-5.186723562800022,3507,341,0.012234282837238415,929,0
235,15x10_15x10x3,-1.142799963056703,6134,362,-0.016656502245671955,1571,0
236,20x10_20x10x5,8.351474373459403,5201,625,0.002715308984741569,1848,0
237,30x10_30x10x2,5.908598374847569,17137,449,-0.012512354201477494,3392,0
238,30x10_30x10x6,12.249921457302218,6276,928,0.038188411772164824,2393,0
239,50x10_50x10x3,29.96858993751903,18532,822,0.0311533169066896,5394,0
240,100x10_100x10x3,77.82828754041356,34386,1201,0.2766575709493083,11497,0
241,6x6_6x6x2,-9.28828582005308,2511,99,2.3344211133592054,334,0
242,10x5_10x5x3,-2.04323105052983,2357,168,0.0606565497515216,448,0
243,15x5_15x5x2,-0.7094381662500924,4798,208,0.034242607912836745,616,0
244,10x10_10x10x4,-5.536705401367774,3364,362,0.02470350228198573,851,0
245,15x10_15x10x3,-3.2540188246065833,5855,320,0.006540474654684658,1595,0
246,20x10_20x10x5,6.957772558687363,4890,536,0.03348158192667726,1857,0
247,30x10_30x10x2,7.934974923376494,16119,404,-0.029193043845387564,3444,0
248,30x10_30x10x6,19.3686304459701,6194,843,0.04150661937632816,2660,0
249,50x10_50x10x3,27.057439307162092,18812,845,0.01716522833032082,5457,0
250,100x10_100x10x3,77.03407708290227,35766,1409,0.3268041800465677,11344,0
251,6x6_6x6x2,-8.499660621103324,2611,112,1.2470319780196795,277,0
252,10x5_10x5x3,-3.135962236060364,2609,202,0.052787590330457414,428,0
253,15x5_15x5x2,-1.512380897914213,5152,222,-0.0018443260541152195,797,0
254,10x10_10x10x4,-5.1196562792186135,3336,324,0.012689724267315964,1024,0
255,15x10_15x10x3,-1.5234407288508525,5878,323,-0.024012668498843294,1661,0
256,20x10_20x10x5,7.919694589629888,4468,400,0.03660551936656703,2020,0
257,30x10_30x10x2,6.11591068164666,16418,390,-0.020695397216014752,3571,0
258,30x10_30x10x6,14.849785689010133,5496,537,0.004865663079284757,3204,0
259,50x10_50x10x3,31.127221453841067,18948,841,0.09759382942999302,5715,0
260,100x10_100x10x3,78.66498018434477,35243,1333,0.21197873650836038,11348,0
261,6x6_6x6x2,-9.071107129346814,2598,102,1.4201330436329704,330,0
262,10x5_10x5x3,-2.854329038055364,2155,127,0.047178578919613745,516,0
263,15x5_15x5x2,-2.265859484225999,4861,191,0.007525713220775044,732,0
264,10x10_10x10x4,-5.376547156925691,3420,329,0.012310742370863544,985,0
265,15x10_15x10x3,-4.533201785755413,6470,394,-0.036231758909153415,1514,0
266,20x10_20x10x5,4.801508494074585,4440,475,-0.003988699125812243,1720,0
267,30x10_30x10x2,7.6909324367237435,17172,484,0.09342370757713822,3386,0
268,30x10_30x10x6,16.288469958006093,5524,596,0.00723079488036104,3048,0
269,50x10_50x10x3,30.623980836771075,17863,630,-0.012863630886995308,5789,0
270,100x10_100x10x3,76.2246583174525,34643,1228,0.23377868782970873,11498,0
271,6x6_6x6x2,-11.688047418779828,3043,146,1.8247902604146238,250,0
272,10x5_10x5x3,-2.989970284457616,2467,170,0.05628523649236954,441,0
273,15x5_15x5x2,-0.7261245701870533,4334,133,0.04581813922123913,762,0
274,10x10_10x10x4,-2.4626189538742778,3094,295,0.031688479615485904,874,0
275,15x10_15x10x3,-0.8191370979287014,5589,303,-0.0272206461641833,1409,0
276,20x10_20x10x5,6.081487999167418,4499,429,0.0004427457501838261,2026,0
277,30x10_30x10x2,7.569520630308258,16278,381,-0.025569355409235505,3458,0
278,30x10_30x10x6,17.769170819969496,5710,648,0.001804168827984092,3124,0
279,50x10_50x10x3,30.73848438753545,17444,599,-0.035281610495965926,5933,0
280,100x10_100x10x3,77.13889154848293,34084,1100,0.05924236265587083,11885,0
281,6x6_6x6x2,-9.134171026869222,2362,96,1.8518558217353227,292,0
282,10x5_10x5x3,-3.391988949570891,2400,147,0.07719392485466792,475,0
283,15x5_15x5x2,-1.8310152339300156,4423,154,-0.028264115543358705,765,0
284,10x10_10x10x4,-4.230231325204566,3327,317,0.024175561263082013,959,0
285,15x10_15x10x3,-2.1417094885858026,5535,320,-0.022214529462689824,1436,0
286,20x10_20x10x5,5.790358432410576,4578,492,0.008470459447935131,1819,0
287,30x10_30x10x2,6.0393788930477985,17307,463,-0.028073758267310747,3338,0
288,30x10_30x10x6,18.37610749974636,6020,866,0.0037726539095184032,2503,0
289,50x10_50x10x3,29.360546177759392,18294,800,-0.00693328262976138,5498,0
290,100x10_100x10x3,73.55638460214082,34988,1335,0.1839032040989787,11222,0
291,6x6_6x6x2,-9.683349843494003,2662,129,1.1560595869907906,283,0
292,10x5_10x5x3,-2.7193582270018837,2554,186,0.023712456179407215,408,0
293,15x5_15x5x2,-2.5237399339583493,4589,175,-0.02487417702230492,621,0
294,10x10_10x10x4,-5.48326038564621,3400,347,0.04873891444192388,949,0
295,15x10_15x10x3,-2.4082657786597688,5868,304,-0.015076117302095026,1482,0
296,20x10_20x10x5,3.693742153443602,4577,423,-0.0038668414485370037,1927,0
297,30x10_30x10x2,5.218192775723104,17203,435,-0.00909566043972455,3413,0
298,30x10_30x10x6,15.480713341086108,5377,524,0.00909518448676814,3279,0
299,50x10_50x10x3,31.443974761524352,17578,590,-0.014500350995439152,5929,0
300,100x10_100x10x3,78.7303760718595,34086,1138,0.04903864621168427,11796,0
