episode,instance,reward,makespan,decisions,epsilon,loss,force_rest_time,invalid_actions
86,6x6_6x6x3,-7.394750371172645,1928,179,0.031121090633522742,0.06377792478585875,293,0
87,10x5_10x5x2,-1.9999990304749646,2741,80,0.029876247008181832,0.06513099321164191,586,0
88,10x5_10x5x3,0.3235479337143814,1771,79,0.02868119712785456,0.06577676237572598,567,0
89,15x5_15x5x2,0.7515201775644158,3724,100,0.027533949242740375,0.06429693340323865,858,0
90,15x5_15x5x3,3.941936967202154,2423,95,0.02643259127303076,0.06463996505266742,868,0
91,10x10_10x10x2,-10.3640187606014,6363,307,0.025375287622109527,0.06463732704520225,981,0
92,10x10_10x10x3,-6.473249242677947,3808,191,0.024360276117225146,0.06384803897930377,1135,0
93,10x10_10x10x4,-1.6321662703851654,2871,223,0.02338586507253614,0.061275459034368394,1107,0
94,15x10_15x10x2,-4.087943765535644,7519,200,0.022450430469634693,0.06180247203912586,1750,0
95,15x10_15x10x3,-0.09784470383137522,5035,191,0.021552413250849303,0.06366293014305112,1810,0
96,15x10_15x10x4,3.5745696523671047,3753,206,0.02069031672081533,0.06069745829794556,1806,0
97,20x5_20x5x2,4.611443229200096,5187,108,0.02,0.060996653201679386,1260,0
98,20x5_20x5x3,6.616505954317386,3616,134,0.02,0.05983620745811,1255,0
99,6x6_6x6x2,-22.771946705538976,4621,394,0.02,0.06145816221833229,333,0
100,6x6_6x6x3,-9.746985333756601,2035,200,0.02,0.06353569817030802,274,0
